BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,Asset Management & Custody Banks,14191
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,10/31/1982,Distillers & Vintners,35483
BIIB,Biogen Inc.,Health Care,Biotechnology,11/13/2003,Biotechnology,42549
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,6/22/2020,Life Sciences Tools & Services,19279
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,3/31/1995,Asset Management & Custody Banks,37909
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,11/6/2009,Internet & Direct Marketing Retail,89451
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,7/7/2017,Oil & Gas Equipment & Services,24048
BLK,BlackRock,Financials,Asset Management & Custody Banks,4/4/2011,Asset Management & Custody Banks,111396
BLL,Ball Corp,Materials,Metal & Glass Containers,10/31/1984,Metal & Glass Containers,29498
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,3/4/1957,Health Care Distributors,133084
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,6/18/2018,Data Processing & Outsourced Services,16934
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2/16/2010,Multi-Sector Holdings,574935
BSX,Boston Scientific,Health Care,Health Care Equipment,2/24/1995,Health Care Equipment,53716
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,12/19/2011,Auto Parts & Equipment,10704
BXP,Boston Properties,Real Estate,Office REITs,4/3/2006,Office REITs,14438
C,Citigroup Inc.,Financials,Diversified Banks,5/31/1988,Diversified Banks,133504
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,8/31/1983,Packaged Foods & Meats,16562
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,5/27/1997,Health Care Distributors,15196
CARR,Carrier Global,Industrials,Building Products,4/3/2020,Building Products,32402
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,3/4/1957,Construction Machinery & Heavy Trucks,109944
CB,Chubb Limited,Financials,Property & Casualty Insurance,7/15/2010,Property & Casualty Insurance,74276
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,3/1/2017,Financial Exchanges & Data,11697
CBRE,CBRE Group,Real Estate,Real Estate Services,11/10/2006,Real Estate Services,23669
CCI,Crown Castle,Real Estate,Specialized REITs,3/14/2012,Specialized REITs,69852
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12/22/1998,"Hotels, Resorts & Cruise Lines",25083
